rivid,classification,strmOrder
110363137,normal range,2
110346081,wet,2
110183393,normal range,2
110347393,normal range,2
110332961,wet,2
110207009,normal range,2
110348705,wet,2
110402497,wet,2
110334273,wet,2
110311969,extremely wet,2
110313281,extremely wet,2
110239809,extremely wet,2
110318529,extremely wet,2
110314593,wet,2
110256865,normal range,2
110260801,normal range,2
110317217,normal range,2
110268673,normal range,2
110338209,normal range,2
110437921,normal range,2
110390690,normal range,2
110321154,normal range,2
110322466,normal range,2
110323778,normal range,2
110294914,normal range,2
110032514,normal range,2
110054818,normal range,2
110058754,normal range,2
110297538,normal range,2
110325090,normal range,2
110298850,normal range,2
110078434,wet,2
110300162,wet,2
110305410,extremely wet,2
110086306,wet,2
110306722,extremely wet,2
110308034,wet,2
110368386,extremely wet,2
110104674,extremely wet,2
110313282,normal range,2
110120418,normal range,2
110326402,normal range,2
110145346,normal range,2
110327714,normal range,2
110151906,normal range,2
110159778,normal range,2
110330338,normal range,2
110167650,normal range,2
110172898,normal range,2
110176834,normal range,2
110183394,wet,2
110189954,normal range,2
110197826,extremely wet,2
110201762,wet,2
110315906,wet,2
110241122,wet,2
110263426,normal range,2
110279170,normal range,2
110344770,wet,2
110319842,normal range,2
110287042,normal range,2
110347394,normal range,2
110348706,normal range,2
110010211,normal range,2
110355267,normal range,2
110356579,normal range,2
110357891,normal range,2
110022019,normal range,2
110025955,normal range,2
110359203,wet,2
110407747,wet,2
110426115,extremely wet,2
110327715,extremely wet,2
110039075,extremely wet,2
110330339,normal range,2
110331651,normal range,2
110052195,normal range,2
110332963,normal range,2
110334275,normal range,2
110067939,normal range,2
110074499,normal range,2
110360515,normal range,2
110078435,normal range,2
110084995,normal range,2
110335587,normal range,2
110100739,wet,2
110395939,extremely wet,2
110105987,wet,2
110365763,wet,2
110126979,normal range,2
110147971,normal range,2
110154531,normal range,2
110371011,normal range,2
110372323,normal range,2
110166339,normal range,2
110380195,normal range,2
110170275,normal range,2
110373635,normal range,2
110374947,normal range,2
110176835,normal range,2
110192579,normal range,2
110473347,wet,2
110339523,wet,2
110199139,wet,2
110378883,extremely wet,2
110205699,extremely wet,2
110344771,extremely wet,2
110212259,normal range,2
110381507,wet,2
110384131,normal range,2
110225379,normal range,2
110233251,normal range,2
110343459,normal range,2
110267363,normal range,2
110347395,normal range,2
110406435,normal range,2
110385443,normal range,2
110348707,wet,2
110350019,wet,2
110306723,wet,2
110313283,extremely wet,2
110458915,normal range,2
110011524,wet,2
110414308,normal range,2
110373636,wet,2
110342148,normal range,2
110311972,normal range,2
110356580,normal range,2
110313284,normal range,2
110315908,normal range,2
110374948,normal range,2
110065316,normal range,2
110081060,normal range,2
110364452,normal range,2
110092868,normal range,2
110096804,normal range,2
110344772,normal range,2
110318532,wet,2
110120420,extremely wet,2
110319844,wet,2
110322468,extremely wet,2
110124356,extremely wet,2
110147972,wet,2
110377572,extremely wet,2
110401188,wet,2
110153220,normal range,2
110378884,normal range,2
110157156,normal range,2
110172900,normal range,2
110348708,normal range,2
110380196,normal range,2
110418244,normal range,2
110353956,normal range,2
110214884,normal range,2
110224068,extremely wet,2
110229316,wet,2
110331652,wet,2
110248996,extremely wet,2
110332964,extremely wet,2
110385444,extremely wet,2
110355268,normal range,2
110334276,normal range,2
110277860,wet,2
110287044,normal range,2
110338212,normal range,2
110302788,normal range,2
110340836,normal range,2
110344773,normal range,2
110011525,normal range,2
110281797,normal range,2
110022021,normal range,2
110346085,normal range,2
110368389,normal range,2
110287045,normal range,2
110054821,normal range,2
110288357,normal range,2
110058757,normal range,2
110078437,normal range,2
110094181,wet,2
110296229,wet,2
110292293,wet,2
110334277,extremely wet,2
110294917,normal range,2
110119109,normal range,2
110130917,normal range,2
110350021,normal range,2
110138789,normal range,2
110327717,normal range,2
110144037,normal range,2
110153221,normal range,2
110330341,normal range,2
110180773,extremely wet,2
110186021,wet,2
110367077,wet,2
110304101,extremely wet,2
110204389,extremely wet,2
110222757,wet,2
110423493,wet,2
110311973,normal range,2
110313285,normal range,2
110315909,normal range,2
110385445,wet,2
110317221,wet,2
110319845,normal range,2
110359206,normal range,2
110044326,normal range,2
110309350,normal range,2
110311974,normal range,2
110360518,normal range,2
110313286,normal range,2
110314598,normal range,2
110394630,normal range,2
110081062,normal range,2
110086310,normal range,2
110363142,extremely wet,2
110315910,extremely wet,2
110099430,extremely wet,2
110318534,extremely wet,2
