month,Azuay,Bolivar,Carchi,Ca?ñar,Chimborazo,Cotopaxi,El Oro,Esmeraldas,Galapagos,Guayas,IMBABURA,Loja,Los Rios,Manabi,Morona Santiago,Napo,Orellana,Pastaza,Pichincha,Santa Elena,Santo Domingo de los Tsachilas,Sucumbios,Tungurahua,Zamora Chinchipe
8/1/2015,27.63247307,28.97935992,30.74714961,28.83433412,29.09178423,27.67819024,19.46757169,31.38040374,14.83044685,26.16169735,29.37090804,20.62134762,31.91800048,26.28398861,32.00535143,29.64300896,36.58217397,36.66554212,28.79716549,21.21006554,26.56555095,34.32586585,27.56508695,28.07696208
9/1/2015,25.63297432,27.50309683,29.6888089,27.24979361,28.52101075,26.32227523,16.7812968,30.02430833,14.83967754,24.07421873,28.06135947,18.36730645,29.93462647,24.66959233,30.84075208,29.12393096,35.92258002,35.51754848,27.27785463,20.27286552,24.7366024,33.03456149,27.16594822,26.3768686
10/1/2015,25.02443593,27.26767186,32.68080977,26.53723727,28.6731497,27.4364764,16.41823142,32.14511111,13.23385054,23.06611652,31.7507808,18.98515386,29.1321888,25.62019962,30.47611737,29.86442919,36.45022883,36.63459492,29.75301262,18.05990878,25.32171356,34.13139206,27.4649231,26.02591137
11/1/2015,28.94284482,31.27447858,33.60402933,30.99966681,32.13915742,31.60961508,20.23694975,35.11565061,16.71106997,26.8998641,34.04928855,24.46776986,32.74787122,28.833562,33.58835091,31.68256322,37.83089935,37.8266393,33.63254842,19.01491692,30.08568684,35.41670661,30.90716081,27.65964753
12/1/2015,27.01622474,34.25241356,30.77040794,32.1132839,31.10170593,30.76386093,20.93494896,36.79262749,24.79108843,33.02841755,31.05379858,26.28948206,38.06715323,34.68598983,33.95163013,29.41729908,37.41154786,37.83922515,32.16576846,23.41235428,33.61910924,34.62845514,28.81568318,27.23680341
1/1/2016,27.25997125,34.10671851,29.72254745,32.0023707,30.93599683,31.80055574,21.98777357,37.18502704,23.33189846,35.43667644,30.72402111,28.58999425,38.09441698,37.51271209,32.6555644,29.21612615,37.05261873,37.17376418,32.15209747,27.44110342,34.42839608,33.6379697,28.11225461,27.00280488
2/1/2016,29.31481188,35.11456305,29.86578178,33.84518003,32.45144011,31.75386339,24.4791881,37.51542674,23.22520491,37.62743107,30.98753338,31.51628744,38.55745407,39.06209225,34.6647651,29.26218609,38.42746498,38.38440726,32.72532164,31.11187144,34.31383815,34.85876715,29.22178552,28.98544806
3/1/2016,31.41446806,36.03155396,30.85857301,35.02860463,33.51648661,33.11293244,29.15420245,37.65490297,25.88864196,38.78742993,32.12629556,33.39675722,38.52339732,38.99636902,34.68632161,29.20191147,39.13856663,38.77327562,34.60001766,32.36666384,34.94049662,35.26274333,30.31208271,30.2904827
4/1/2016,31.43749,35.91767989,32.71718827,35.04910638,34.17248486,33.79424178,27.22562539,37.0728015,23.12481729,37.91593564,33.57741668,32.59058799,38.38401417,38.29767391,34.65362659,31.21628846,39.22854576,38.94529769,35.59790044,30.37155153,34.39502618,36.46958547,32.40220134,28.96253253
5/1/2016,28.59950713,34.59845798,30.43201739,32.6706654,31.96046837,31.69803589,20.36126573,36.28164532,17.49092339,33.62848044,31.21520333,27.15760838,37.13342894,34.58662039,33.55661713,28.99128206,38.49417996,38.22825688,33.62101336,22.81512064,33.33852967,35.12882731,30.09152368,27.07239465
6/1/2016,28.36372669,33.18746445,28.90017904,32.04098935,32.0416299,30.16766097,17.62061893,34.04115152,14.69887426,28.69670103,30.13790646,24.08082273,35.36861463,29.545725,34.12245237,28.85425829,38.73675145,38.77179138,32.452942,17.81425552,30.91056339,35.09136896,29.96402325,27.63878551
7/1/2016,25.24718084,31.75949956,26.68931749,29.24110266,30.17698294,27.67846353,13.76917535,32.50409581,13.55233506,27.02442028,28.75627797,18.46361778,35.6248325,27.38979954,32.42686975,26.77546425,37.20823921,37.17078619,30.48972411,17.35875862,30.06261868,33.20548286,28.27064467,25.50002142
8/1/2016,23.28912858,28.68292958,25.09120317,24.80476045,27.51479683,25.47557441,11.36539796,30.62970436,12.66630118,22.29880506,27.08609396,14.93584996,33.12028679,22.91816835,31.88819836,25.37633432,36.06827671,36.53151331,28.50142122,14.54204845,28.24622665,32.13117546,26.8536709,23.89449982
9/1/2016,24.00528343,30.68695608,26.66750687,26.443881,29.13132161,27.66471303,12.96607719,31.37360037,13.09039261,21.71888864,29.34222275,17.03504694,33.5085203,23.46529525,32.56287862,26.0920792,37.69971245,36.97632293,31.0817756,14.93378091,29.28060453,33.38712501,27.31605256,23.82441987
