datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2024-02-13 21:00:00+00:00,1.5596699,2.3233821,0.85251844,2.9922721,10.226488,8.512446,6.236033,0.9179445,0.83275396,5.892958,3.7409058,4.5117283,4.292135,4.7068305,1.8437494,5.0737677,17.793278,1.3039393,11.792358,1.4414654,50.914402,1.1363374,11.76797,3.991958,2.949386,1.913832,1.3596344,1.569986,1.7030551,10.585257,1.197037,3.1903565,13.003446,1.6249952,1.3350961,7.0186434,8.610967,1.9053171,56.268116,0.96031106,10.42838,-2.0852535,0.84433156,24.40591,32.564915,2.139111,13.8892765,12.347309,5.129078,0.6553894,11.73178,5.272287
2024-02-13 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1756735,,,,
2024-02-13 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.551217,,,,
2024-02-14 00:00:00+00:00,1.6524565,3.4777865,0.6915781,3.257417,13.072612,12.09284,5.507785,0.78430444,0.8462943,9.66534,4.936732,7.8108115,3.7631528,5.5352483,2.9707227,8.911942,19.023357,1.6526161,15.455636,1.6062603,45.318516,5.326835,28.096083,10.636025,2.6439242,1.3790896,1.1550847,8.713832,7.0333333,21.034418,12.407887,2.9424734,16.488823,2.307253,1.1078448,7.3724446,12.241624,2.1326668,67.828766,1.3721592,15.728508,12.199416,0.9430264,34.203194,30.93141,6.32447,11.884816,13.996448,4.167165,0.5419458,13.012396,5.2605543
2024-02-14 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.223419,,,,
2024-02-14 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.007882,,,,
2024-02-14 03:00:00+00:00,1.6693077,4.7008743,0.55399066,4.065447,17.868906,13.467425,4.7486844,0.65244466,0.9324456,8.454957,5.3716683,9.356055,3.3148372,5.785891,3.9480765,10.736641,18.382988,1.9915287,16.380892,1.0160809,51.40725,9.613718,36.15854,14.051721,4.111518,3.329324,0.9777309,17.596918,8.688429,32.692852,24.677101,2.5841124,17.770287,2.6424155,1.5227734,14.011311,14.98035,2.1742308,69.01693,1.8212209,20.422382,24.553303,0.9380142,68.096085,58.828182,10.320108,12.586489,12.0640955,4.9353786,0.45135376,12.939747,8.364417
2024-02-14 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.451654,,,,
2024-02-14 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.781991,,,,
2024-02-14 06:00:00+00:00,1.5653217,5.1666856,0.4320758,4.543764,11.685784,12.922795,4.0247674,0.529123,0.8626819,22.019056,5.196242,9.545507,2.856068,5.4649086,4.343146,10.785608,16.410149,2.1218421,15.743916,5.6363487,60.533405,17.568748,47.67118,14.365014,5.2313614,3.4030955,0.83650076,22.537624,8.124947,30.699722,31.191042,2.1861837,21.928467,2.588133,1.5507547,22.638708,16.246231,2.256271,63.152134,1.832732,21.690096,34.867336,0.87830156,77.9833,61.77584,12.196774,14.070176,18.496382,5.527624,0.373266,11.974811,18.552933
2024-02-14 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21974,,,,
2024-02-14 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.684278,,,,
2024-02-14 09:00:00+00:00,1.3884257,4.9491615,0.36062336,6.055453,23.987722,11.34209,3.3256354,0.4316197,0.7564444,36.54274,4.693664,8.614626,2.366569,4.9719067,4.272222,9.848587,14.533259,2.033746,13.890651,14.266477,73.58128,21.867596,57.96673,12.959913,6.1595974,5.3378353,0.70644593,32.702045,7.002731,31.207184,37.763943,1.7917681,24.260843,2.3272321,1.9030924,22.51877,18.867323,2.2352831,54.199284,2.1636527,20.294098,43.560177,0.8077187,92.41177,65.65195,12.97984,19.369026,25.70924,8.384983,0.36591527,10.601084,26.876303
2024-02-14 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.232439,,,,
2024-02-14 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.23146,,,,
2024-02-14 12:00:00+00:00,1.2036726,4.4065056,0.31579348,7.1977687,49.12884,8.985396,2.7519019,0.34562945,0.67602,43.418938,4.128547,7.321453,1.940003,4.335726,3.9159958,8.426736,13.152049,1.9469867,11.623481,27.949692,78.10218,32.71582,65.9341,10.433444,6.2825136,7.511017,0.611051,39.238647,5.774049,33.816048,40.901184,-3.9614222,22.259445,1.9714684,2.2364504,19.459166,20.419737,2.0688317,43.345425,2.3718286,18.002249,45.737804,0.70228577,99.23349,77.38778,12.633084,22.820381,27.674604,10.664025,0.37266588,9.326892,40.40929
2024-02-14 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.714867,,,,
2024-02-14 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.705785,,,,
2024-02-14 15:00:00+00:00,1.0898532,3.7534819,0.2754878,7.45587,87.839386,8.844974,2.2774,0.26498017,0.6449301,43.414215,3.5347352,1.3203768,1.6391461,3.8167124,3.4744668,7.0222964,12.838472,-0.3833077,9.456047,38.249462,72.9707,42.587673,68.47716,10.501979,10.988833,8.389787,0.55733407,39.988358,4.632433,34.262737,41.69746,3.9644578,15.265614,1.6511482,1.1914942,15.712032,19.781116,1.8273244,43.072025,2.386641,15.412951,31.720892,0.5830954,95.18947,114.30894,11.574984,22.126266,32.492275,11.19086,0.3492089,7.287575,40.648445
2024-02-14 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.36795,,,,
2024-02-14 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.638687,,,,
